epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1032.01,0.92623,0.80262,1.06182,0.88223,0.79525,0.86857,0.69888,0.80492,0.61195,0.96086,7.30541e-05,7.30541e-05,7.30541e-05
41,1058.62,0.9614,0.81255,1.07805,0.88702,0.7944,0.8677,0.70308,0.80229,0.60959,0.9594,7.1876e-05,7.1876e-05,7.1876e-05
42,1084.83,0.87152,0.76504,1.05076,0.87997,0.79331,0.86635,0.70533,0.79962,0.60716,0.95785,7.06979e-05,7.06979e-05,7.06979e-05
43,1111.02,0.89431,0.78362,1.04971,0.8741,0.79634,0.86724,0.70693,0.79304,0.60142,0.95449,6.95198e-05,6.95198e-05,6.95198e-05
44,1137.56,0.88005,0.7686,1.05494,0.87384,0.79787,0.86856,0.7121,0.78409,0.59267,0.95118,6.83417e-05,6.83417e-05,6.83417e-05
45,1164.49,0.90374,0.80465,1.05656,0.87383,0.79751,0.87163,0.71627,0.77887,0.58646,0.94965,6.71636e-05,6.71636e-05,6.71636e-05
46,1190.45,0.91698,0.79374,1.07636,0.87644,0.79899,0.87382,0.71819,0.77656,0.58326,0.9487,6.59855e-05,6.59855e-05,6.59855e-05
47,1216.99,0.90574,0.77524,1.05304,0.88628,0.79995,0.87721,0.71967,0.77437,0.58231,0.94769,6.48074e-05,6.48074e-05,6.48074e-05
48,1243.17,0.88233,0.75231,1.04062,0.88846,0.8026,0.8784,0.72246,0.76882,0.58231,0.94578,6.36293e-05,6.36293e-05,6.36293e-05
49,1269.76,0.90788,0.76546,1.0618,0.89044,0.79765,0.8745,0.71978,0.76546,0.58095,0.94432,6.24512e-05,6.24512e-05,6.24512e-05
50,1296.09,0.88974,0.78396,1.06688,0.89141,0.79599,0.87461,0.7198,0.76296,0.58076,0.94286,6.12731e-05,6.12731e-05,6.12731e-05
51,1322.14,0.90132,0.7475,1.05884,0.89249,0.79863,0.87507,0.72307,0.75946,0.58029,0.94074,6.0095e-05,6.0095e-05,6.0095e-05
52,1348.37,0.84468,0.74163,1.04819,0.8942,0.79709,0.87602,0.72585,0.75418,0.57799,0.93825,5.89169e-05,5.89169e-05,5.89169e-05
53,1374.95,0.84331,0.75284,1.04295,0.89081,0.7973,0.87478,0.72707,0.75304,0.5715,0.93661,5.77388e-05,5.77388e-05,5.77388e-05
54,1401.14,0.8363,0.73091,1.05216,0.89753,0.7988,0.87472,0.72626,0.75334,0.56583,0.93615,5.65607e-05,5.65607e-05,5.65607e-05
55,1427.49,0.82758,0.73133,1.01677,0.91201,0.78799,0.87551,0.72821,0.74927,0.5633,0.93509,5.53826e-05,5.53826e-05,5.53826e-05
56,1453.87,0.88133,0.72877,1.03717,0.91194,0.7875,0.87577,0.73151,0.747,0.56254,0.93431,5.42045e-05,5.42045e-05,5.42045e-05
57,1479.93,0.85685,0.72232,1.0329,0.91252,0.8028,0.88172,0.73613,0.74671,0.56326,0.93439,5.30264e-05,5.30264e-05,5.30264e-05
58,1505.52,0.89719,0.72555,1.04506,0.90805,0.8086,0.88271,0.73228,0.74716,0.56586,0.93435,5.18483e-05,5.18483e-05,5.18483e-05
59,1530.67,0.92321,0.7752,1.08031,0.8962,0.8113,0.8845,0.73297,0.74681,0.56659,0.93392,5.06702e-05,5.06702e-05,5.06702e-05
60,1555.76,0.86143,0.73059,1.05986,0.89306,0.81229,0.88389,0.734,0.74422,0.56309,0.93288,4.94921e-05,4.94921e-05,4.94921e-05
61,1581.07,0.83413,0.71926,1.04695,0.89693,0.8069,0.88405,0.73534,0.73913,0.55712,0.9316,4.8314e-05,4.8314e-05,4.8314e-05
62,1606.08,0.86015,0.7302,1.03546,0.90396,0.8023,0.88455,0.73375,0.73639,0.55064,0.93022,4.71359e-05,4.71359e-05,4.71359e-05
63,1631.15,0.86696,0.73028,1.03678,0.91418,0.79872,0.88422,0.73817,0.73219,0.54744,0.92763,4.59578e-05,4.59578e-05,4.59578e-05
64,1656.93,0.83575,0.71632,1.02451,0.91306,0.79281,0.88251,0.74003,0.72829,0.54431,0.9263,4.47797e-05,4.47797e-05,4.47797e-05
65,1681.94,0.83102,0.7222,1.03965,0.91629,0.79101,0.88113,0.73605,0.72751,0.54262,0.92548,4.36016e-05,4.36016e-05,4.36016e-05
66,1707.94,0.81176,0.71094,1.02343,0.91317,0.79731,0.88493,0.73758,0.72646,0.54139,0.92438,4.24235e-05,4.24235e-05,4.24235e-05
67,1733.26,0.83479,0.71492,1.02413,0.91712,0.79559,0.88534,0.73778,0.72467,0.5409,0.92305,4.12454e-05,4.12454e-05,4.12454e-05
68,1759.19,0.82587,0.72724,1.04394,0.91317,0.80006,0.88548,0.73855,0.72427,0.54169,0.92189,4.00673e-05,4.00673e-05,4.00673e-05
69,1784.67,0.84283,0.73587,1.04568,0.90642,0.80179,0.88548,0.73874,0.72351,0.54083,0.92156,3.88892e-05,3.88892e-05,3.88892e-05
70,1810.06,0.83858,0.72072,1.0332,0.91137,0.79859,0.88712,0.74179,0.7227,0.54125,0.92061,3.77111e-05,3.77111e-05,3.77111e-05
71,1835.79,0.85769,0.71867,1.03887,0.91239,0.79576,0.88533,0.74277,0.72244,0.53964,0.92054,3.6533e-05,3.6533e-05,3.6533e-05
